POS,Total Count
DET,12475
PROPN,8162
ADP,14652
PRON,22223
NOUN,20349
AUX,10600
VERB,17689
ADV,7934
ADJ,7969
PART,2789
CCONJ,4829
SCONJ,4656
INTJ,1098
NUM,1049
X,33
PUNCT,2
